firm_name,topic_id,keywords
BP,0,"oil, energy, safety, gas, operations, work, risk, business, operating, management"
BP,1,"aim, focus, areas, glance, foundations, reporting, external, collaborations, carbon, embedding"
BP,2,"aim, energy, net, zero, emissions, carbon, transition, support, methane, aims"
BP,3,"net, zero, people, approach, safety, planet, emissions, introduction, improving, caring"
BP,4,"rights, operations, local, human, water, gas, emissions, potential, impacts, managing"
BP,5,"carbon, energy, emissions, gas, rights, people, business, human, safety, work"
BP,6,"enhancing, collaborations, embedding, consistency, iogp, speak, resilient, comprises, saw, purchase"
Chevron,0,"chevron, water, energy, emissions, business, work, human, percent, safety, performance"
Chevron,1,"chevron, carbon, energy, business, water, management, performance, emissions, environment, board"
Chevron,2,"ccs, outlook, commercial, infrastructure, btus, scenario, dollars, sensitive, defined, releases"
Chevron,3,"ccs, outlook, commercial, infrastructure, btus, scenario, dollars, sensitive, defined, releases"
Chevron,4,"million, tonnes, covid, women, risk, support, environmental, employees, global, applicable"
Chevron,5,"emissions, exxonmobil, gas, methane, carbon, energy, solutions, emission, data, climate"
Chevron,6,"chevron, gas, reporting, oil, safety, business, performance, environmental, corporate, local"
ConocoPhillips,0,"business, risks, performance, risk, development, conocophillips, management, employees, supplier, environmental"
ConocoPhillips,1,"water, conocophillips, operations, emissions, oil, environmental, business, local, safety, performance"
ConocoPhillips,2,"water, development, sustainable, safety, management, action, operations, business, biodiversity, company"
ConocoPhillips,3,"choices, canadian, recovery, pipeline, expertise, order, tax, unique, accountability, processing"
ConocoPhillips,4,"climate, risk, emissions, energy, risks, business, carbon, related, development, conocophillips"
ConocoPhillips,5,"emissions, risks, related, water, carbon, gas, climate, ghg, methane, intensity"
ConocoPhillips,6,"choices, canadian, recovery, pipeline, expertise, order, tax, unique, accountability, processing"
Eni,0,"eni, energy, development, transition, carbon, emissions, business, climate, new, sustainable"
Eni,1,"eni, energy, value, emissions, development, activities, business, rights, gas, human"
Eni,2,"eni, gas, local, energy, oil, development, production, projects, project, model"
Eni,3,"progressive, routine, highest, study, cooking, factors, descalzi, violations, photovoltaic, labour"
Eni,4,"progressive, routine, highest, study, cooking, factors, descalzi, violations, photovoltaic, labour"
Eni,5,"progressive, routine, highest, study, cooking, factors, descalzi, violations, photovoltaic, labour"
Eni,6,"eni, rights, development, human, management, safety, thel, oft, business, activities"
Equinor,0,"mboe, electrification, read, angola, reflects, explore, findings, stated, jobs, hydrocarbons"
Equinor,1,"mboe, electrification, read, angola, reflects, explore, findings, stated, jobs, hydrocarbons"
Equinor,2,"mboe, electrification, read, angola, reflects, explore, findings, stated, jobs, hydrocarbons"
Equinor,3,"mboe, electrification, read, angola, reflects, explore, findings, stated, jobs, hydrocarbons"
